file_name,path,well_plate,well,plate,date_time,RFU,platekey,population,treatment,replicate,start_time,days,acclimation_conditions,experiment_conditions
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-10_0801am_191010_080207_0001_,data-raw/chlorophyll/aquatic-ecology-,F02_3,F02,3,2019-10-10T07:55:04Z,10,1,1.8,1,8,2019-10-09T16:00:09Z,0.6631365740740741,light_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-10_0801am_191010_080207_0001_,data-raw/chlorophyll/aquatic-ecology-,G02_3,G02,3,2019-10-10T07:55:04Z,6,1,1.2,1,2,2019-10-09T16:00:09Z,0.6631365740740741,light_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-10_1740pm_191010_174045_0001_,data-raw/chlorophyll/aquatic-ecology-,B02_3,B02,3,2019-10-10T17:33:43Z,10,1,1.8,1,8,2019-10-09T16:00:09Z,1.0649768518518519,light_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-10_1740pm_191010_174045_0001_,data-raw/chlorophyll/aquatic-ecology-,C02_3,C02,3,2019-10-10T17:33:43Z,10,1,2.3,2,3,2019-10-09T16:00:09Z,1.0649768518518519,dark_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-10_1740pm_191010_174045_0001_,data-raw/chlorophyll/aquatic-ecology-,D02_3,D02,3,2019-10-10T17:33:43Z,23,1,1.6,1,6,2019-10-09T16:00:09Z,1.0649768518518519,light_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-10_1740pm_191010_174045_0001_,data-raw/chlorophyll/aquatic-ecology-,E02_3,E02,3,2019-10-10T17:33:43Z,8,1,2.5,2,5,2019-10-09T16:00:09Z,1.0649768518518519,dark_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-10_1740pm_191010_174045_0001_,data-raw/chlorophyll/aquatic-ecology-,F02_3,F02,3,2019-10-10T17:33:43Z,12,1,1.8,1,8,2019-10-09T16:00:09Z,1.0649768518518519,light_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-10_1740pm_191010_174045_0001_,data-raw/chlorophyll/aquatic-ecology-,G02_3,G02,3,2019-10-10T17:33:43Z,10,1,1.2,1,2,2019-10-09T16:00:09Z,1.0649768518518519,light_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-11_0817am_191011_081735_0001_,data-raw/chlorophyll/aquatic-ecology-,B02_3,B02,3,2019-10-11T08:10:35Z,12,1,1.8,1,8,2019-10-09T16:00:09Z,1.673912037037037,light_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-11_0817am_191011_081735_0001_,data-raw/chlorophyll/aquatic-ecology-,C02_3,C02,3,2019-10-11T08:10:35Z,6,1,2.3,2,3,2019-10-09T16:00:09Z,1.673912037037037,dark_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-11_0817am_191011_081735_0001_,data-raw/chlorophyll/aquatic-ecology-,D02_3,D02,3,2019-10-11T08:10:35Z,27,1,1.6,1,6,2019-10-09T16:00:09Z,1.673912037037037,light_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-11_0817am_191011_081735_0001_,data-raw/chlorophyll/aquatic-ecology-,E02_3,E02,3,2019-10-11T08:10:35Z,10,1,2.5,2,5,2019-10-09T16:00:09Z,1.673912037037037,dark_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-11_0817am_191011_081735_0001_,data-raw/chlorophyll/aquatic-ecology-,F02_3,F02,3,2019-10-11T08:10:35Z,10,1,1.8,1,8,2019-10-09T16:00:09Z,1.673912037037037,light_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-11_0817am_191011_081735_0001_,data-raw/chlorophyll/aquatic-ecology-,G02_3,G02,3,2019-10-11T08:10:35Z,12,1,1.2,1,2,2019-10-09T16:00:09Z,1.673912037037037,light_acclimated,grown_in_dark
data-raw/chlorophyll/aquatic-ecology-plate3-2019-10-11_1701pm_191011_170137_0001_,data-raw/chlorophyll/aquatic-ecology-,B02_3,B02,3,2019-10-11T16:54:34Z,13,1,1.8,1,8,2019-10-09T16:00:09Z,2.0377893518518517,light_acclimated,grown_in_dark
